Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,29.440001,29.790001,29.330000,29.639999,29.519390,46765200
2018-05-08,29.770000,30.129999,29.670000,29.930000,29.808210,65119800
2018-05-09,30.100000,30.790001,30.080000,30.719999,30.594995,72266500
2018-05-10,30.610001,31.070000,30.420000,30.889999,30.764303,54773200
2018-05-11,30.910000,31.030001,30.809999,30.920000,30.794182,42024800
2018-05-14,31.040001,31.230000,31.030001,31.120001,30.993368,41791600
2018-05-15,30.920000,31.360001,30.850000,31.219999,31.092960,64433500
2018-05-16,31.180000,31.250000,31.020000,31.059999,30.933611,43590100
2018-05-17,31.040001,31.080000,30.670000,30.809999,30.684629,45981500
2018-05-18,30.770000,30.790001,30.230000,30.260000,30.136868,58641700
2018-05-21,30.520000,30.680000,30.480000,30.549999,30.425686,34983300
2018-05-22,30.600000,31.139999,30.540001,30.889999,30.764303,61103000
2018-05-23,30.709999,30.760000,30.080000,30.440001,30.316135,73081400
2018-05-24,30.400000,30.410000,29.830000,30.209999,30.087070,61592800
2018-05-25,30.010000,30.190001,29.879999,30.160000,30.037273,44166700
2018-05-29,29.760000,29.799999,28.700001,28.959999,28.842157,135380300
2018-05-30,29.290001,29.600000,29.160000,29.490000,29.370001,79435300
2018-05-31,29.200001,29.260000,28.830000,29.040001,29.040001,97509300
2018-06-01,29.490000,29.660000,29.309999,29.400000,29.400000,64581000
2018-06-04,29.549999,29.590000,29.330000,29.400000,29.400000,42386700
2018-06-05,29.309999,29.340000,29.059999,29.120001,29.120001,47690800
2018-06-06,29.290001,30.049999,29.280001,30.040001,30.040001,74299200
