Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,294720.000000,297500.000000,293700.000000,295600.000000,295600.000000,300
2018-05-08,295560.000000,295770.000000,292240.000000,295700.000000,295700.000000,300
2018-05-09,295000.000000,300000.000000,294950.000000,299991.000000,299991.000000,200
2018-05-10,300140.000000,301630.000000,298635.000000,301630.000000,301630.000000,300
2018-05-11,300300.000000,303530.000000,298360.000000,298770.000000,298770.000000,300
2018-05-14,300000.000000,300730.000000,298100.000000,298200.000000,298200.000000,200
2018-05-15,297555.000000,298155.000000,294420.000000,296200.000000,296200.000000,200
2018-05-16,295700.000000,297580.000000,295000.000000,296300.000000,296300.000000,100
2018-05-17,296750.000000,296840.000000,295000.000000,296440.000000,296440.000000,100
2018-05-18,296440.000000,296440.000000,293965.000000,294380.000000,294380.000000,200
2018-05-21,296200.000000,297775.000000,295745.000000,296620.000000,296620.000000,200
2018-05-22,297300.000000,298300.000000,296006.000000,296991.000000,296991.000000,200
2018-05-23,296500.000000,296580.000000,292647.000000,294400.000000,294400.000000,300
2018-05-24,293980.000000,294110.000000,291222.000000,291850.000000,291850.000000,200
2018-05-25,291600.000000,292370.000000,290100.000000,290886.000000,290886.000000,200
2018-05-29,289700.000000,289700.000000,283600.000000,286000.000000,286000.000000,900
2018-05-30,288500.000000,293116.000000,288300.000000,292000.000000,292000.000000,600
2018-05-31,291000.000000,291700.000000,287200.000000,287200.000000,287200.000000,400
2018-06-01,290080.000000,291000.000000,288470.000000,289200.000000,289200.000000,200
2018-06-04,290095.000000,291080.000000,288000.000000,288000.000000,288000.000000,200
2018-06-05,288000.000000,288100.000000,286200.000000,286700.000000,286700.000000,300
2018-06-06,287680.000000,291261.000000,287680.000000,290722.000000,290722.000000,300
