Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,108.760002,109.680000,108.360001,109.370003,109.370003,9356700
2018-05-08,109.529999,111.339996,109.279999,110.989998,110.989998,12543200
2018-05-09,111.440002,113.639999,111.029999,113.410004,113.410004,11368100
2018-05-10,113.190002,114.440002,112.750000,114.290001,114.290001,9159700
2018-05-11,114.489998,114.730003,113.669998,113.860001,113.860001,10253000
2018-05-14,114.110001,114.699997,113.739998,113.900002,113.900002,8710700
2018-05-15,113.910004,113.910004,112.570000,113.029999,113.029999,11536200
2018-05-16,112.889999,113.690002,112.629997,113.339996,113.339996,7571100
2018-05-17,113.199997,113.410004,112.199997,112.959999,112.959999,8617200
2018-05-18,112.750000,112.800003,110.839996,111.129997,111.129997,11806300
2018-05-21,112.050003,112.540001,111.919998,112.150002,112.150002,9441900
2018-05-22,112.349998,114.290001,112.290001,113.010002,113.010002,11507600
2018-05-23,112.510002,112.769997,111.120003,112.489998,112.489998,11119300
2018-05-24,112.139999,112.150002,110.120003,111.230003,111.230003,13966300
2018-05-25,110.459999,111.080002,110.199997,110.660004,110.660004,8283500
2018-05-29,109.180000,109.199997,104.959999,105.930000,105.930000,30480400
2018-05-30,107.639999,108.599998,106.650002,108.349998,108.349998,17490800
2018-05-31,107.949997,108.190002,106.419998,107.010002,107.010002,19808200
2018-06-01,108.339996,108.940002,107.800003,108.400002,108.400002,13567200
2018-06-04,108.989998,109.260002,108.269997,108.449997,108.449997,8910400
2018-06-05,108.239998,108.309998,107.070000,107.839996,107.839996,10415200
2018-06-06,108.660004,110.739998,108.480003,110.360001,110.360001,15398200
