Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,77.150002,77.470001,76.949997,77.089996,77.089996,1054000
2018-05-08,77.419998,77.570000,76.889999,77.139999,77.139999,1187700
2018-05-09,76.809998,77.570000,76.690002,77.089996,77.089996,1138000
2018-05-10,77.180000,77.570000,76.510002,76.940002,76.940002,1612600
2018-05-11,77.389999,77.699997,77.089996,77.550003,77.550003,2729700
2018-05-14,78.349998,78.570000,78.150002,78.330002,78.330002,1653400
2018-05-15,77.849998,77.889999,77.389999,77.449997,77.449997,2319100
2018-05-16,77.910004,78.050003,77.550003,77.599998,77.599998,1326900
2018-05-17,77.220001,77.419998,76.970001,77.150002,77.150002,2098600
2018-05-18,77.379997,77.430000,76.910004,77.059998,77.059998,1478900
2018-05-21,77.269997,77.470001,76.750000,76.790001,76.790001,987000
2018-05-22,76.809998,77.300003,76.800003,76.839996,76.839996,945100
2018-05-23,76.980003,77.099998,76.320000,76.430000,76.430000,836900
2018-05-24,76.629997,76.779999,76.000000,76.169998,76.169998,1186400
2018-05-25,76.680000,76.830002,75.959999,76.099998,76.099998,911600
2018-05-29,75.059998,75.410004,74.699997,74.959999,74.959999,1239300
2018-05-30,75.529999,76.070000,75.230003,75.730003,75.730003,1400800
2018-05-31,75.360001,75.519997,74.110001,74.519997,74.519997,2243200
2018-06-01,75.300003,75.809998,75.129997,75.599998,75.599998,1505300
2018-06-04,75.989998,76.019997,75.500000,75.760002,75.760002,2354300
2018-06-05,75.349998,75.389999,74.769997,74.900002,74.900002,1806100
2018-06-06,74.769997,75.339996,74.550003,75.209999,75.209999,1366600
