Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,34.790001,35.130001,34.709999,34.930000,34.592319,20474400
2018-05-08,34.910000,35.090000,34.709999,34.980000,34.641834,26821300
2018-05-09,35.020000,35.410000,34.869999,35.169998,34.829998,19383500
2018-05-10,35.000000,35.310001,34.889999,35.040001,35.040001,29323200
2018-05-11,35.130001,35.560001,35.070000,35.500000,35.500000,20512300
2018-05-14,35.509998,35.919998,35.490002,35.860001,35.860001,20384300
2018-05-15,35.509998,35.779999,35.480000,35.689999,35.689999,18354500
2018-05-16,35.730000,35.880001,35.570000,35.680000,35.680000,20750200
2018-05-17,35.630001,35.779999,35.439999,35.709999,35.709999,12354300
2018-05-18,35.610001,35.750000,35.430000,35.639999,35.639999,14928500
2018-05-21,35.709999,35.869999,35.520000,35.799999,35.799999,16890800
2018-05-22,35.799999,36.090000,35.689999,35.720001,35.720001,13735600
2018-05-23,35.680000,36.029999,35.630001,35.970001,35.970001,18756500
2018-05-24,35.959999,36.090000,35.770000,35.889999,35.889999,16619000
2018-05-25,35.820000,35.919998,35.540001,35.680000,35.680000,14236600
2018-05-29,35.369999,35.730000,35.320000,35.700001,35.700001,26669800
2018-05-30,35.950001,36.250000,35.900002,36.049999,36.049999,27603200
2018-05-31,35.950001,36.200001,35.889999,35.930000,35.930000,29342000
2018-06-01,36.259998,36.279999,36.110001,36.250000,36.250000,21161900
2018-06-04,36.410000,36.560001,36.230000,36.450001,36.450001,18008100
2018-06-05,36.509998,36.639999,36.340000,36.439999,36.439999,20375800
2018-06-06,36.400002,36.570000,36.189999,36.380001,36.380001,18346100
